create,class,Model
setAttr,Model,name
create,class,Model
setAttr,Model,name
create,class,Package
setAttr,Package,name
setAttr,Package,visibility
create,class,Package
setAttr,Package,name
setAttr,Package,visibility
create,class,Class
setAttr,Class,name
setAttr,Class,visibility
create,class,Operation
setAttr,Operation,name
setAttr,Operation,visibility
create,class,Parameter
setAttr,Parameter,name
setAttr,Parameter,visibility
setRef,Parameter,type
create,class,LiteralInteger
setRef,Parameter,lowerValue
create,class,LiteralUnlimitedNatural
setAttr,LiteralUnlimitedNatural,value
setRef,Parameter,upperValue
create,class,Parameter
setAttr,Parameter,name
setAttr,Parameter,visibility
setRef,Parameter,type
create,class,LiteralInteger
setRef,Parameter,lowerValue
create,class,LiteralUnlimitedNatural
setAttr,LiteralUnlimitedNatural,value
setRef,Parameter,upperValue
create,class,Operation
setAttr,Operation,name
setAttr,Operation,visibility
create,class,Parameter
setAttr,Parameter,name
setAttr,Parameter,visibility
setRef,Parameter,type
create,class,LiteralInteger
setRef,Parameter,lowerValue
create,class,LiteralUnlimitedNatural
setAttr,LiteralUnlimitedNatural,value
setRef,Parameter,upperValue
create,class,Class
setAttr,Class,name
setAttr,Class,visibility
create,class,Class
setAttr,Class,name
setAttr,Class,visibility
create,class,Generalization
setRef,Generalization,general
create,class,Class
setAttr,Class,name
setAttr,Class,visibility
create,class,Generalization
setRef,Generalization,general
create,class,Package
setAttr,Package,name
setAttr,Package,visibility
create,class,Interface
setAttr,Interface,name
setAttr,Interface,visibility
create,class,Interface
setAttr,Interface,name
setAttr,Interface,visibility
create,class,Generalization
setRef,Generalization,general
create,class,Interface
setAttr,Interface,name
setAttr,Interface,visibility
create,class,Interface
setAttr,Interface,name
create,class,Interface
setAttr,Interface,name
setAttr,Interface,visibility